安哥拉 罗安达 
摩洛哥 拉巴特 
赞比亚 卢萨卡 
埃塞俄比亚 亚的斯亚贝巴 
布隆迪 布琼布拉 
坦桑尼亚 多多马 
埃及 开罗 
卢旺达 基加利 
肯尼亚 内罗毕 
中非 班吉 
乍得 恩贾梅纳 
南非 比勒陀利亚 
几内亚 科纳克里 
尼日尔 尼亚美 
科摩罗 莫罗尼 
几内亚比绍 比绍 
尼日利亚 阿布贾 
津巴布韦 哈拉雷 
博茨瓦纳 哈博罗内 
加纳 阿克拉 
突尼斯 突尼斯 
布基纳法索 瓦加杜古 
加蓬 利伯维尔 
莱索托 马塞卢 
马达加斯加 塔那那利佛 
圣多美和普林西比 圣多美 
莫桑比克 马普托 
马里 巴马科 
吉布提 吉布提市 
索马里 摩加迪沙 
马拉维 利隆圭 
刚果 布拉柴维尔 
科特迪瓦 亚穆苏克罗 
刚果民主共和国 金沙萨 
多哥 洛美 
喀麦隆 雅温得 
赤道几内亚 马拉博 
苏丹 喀土穆 
塞内加尔 达喀尔 
冈比亚 班珠尔 
利比亚 的黎波里 
南苏丹 朱巴 
贝宁 波多诺伏 
利比里亚 蒙罗维亚 
毛里求斯 路易港 
佛得角 普拉亚 
毛里塔尼亚 努瓦克肖特 
阿尔及利亚 阿尔及尔 
乌干达 坎帕拉 
纳米比亚 温得和克 
塞舌尔 维多利亚 
厄立特里亚 阿斯马拉 
塞拉利昂 弗里敦 
斯威士兰 姆巴巴纳
